# 扫地机器人+扫拖一体机器人 维护保养200条（纯保养维度，分通用基础/扫地专属/扫拖一体拖地专属/耗材专项/环境适配/长期存放/故障预防，覆盖全机型日常维护）
## 通用基础维护（50条）
8. 清洁刷（自动洗拖布款）：每周清理毛发，每月用清水冲洗，3-6个月更换，出现磨损、变形立即更换。
9. 万向轮/驱动轮：轮面磨损严重、转动卡顿或异响时更换，一般1-2年更换一次，粗糙地面6-12个月更换。
10. 滚刷胶条（主刷配件）：出现磨损、开裂、脱落时更换，一般与主刷同步更换。
11. 污水仓滤网（扫拖一体）：每周用清水冲洗，晾干后使用，6个月更换一次，破损立即更换。
12. 电池：正常使用2-3年更换，若续航衰减至原续航50%以下、充不进电或鼓包，立即更换原装电池。
13. 一次性拖布：单次使用，随用随换，不可重复使用。
14. 防缠绕梳齿：出现变形、断裂时更换，一般6-12个月检查一次，宠物家庭3个月检查一次。
15. 充电触点铜片：若出现氧化、生锈，用除锈剂轻擦，无法修复时更换触点配件。
16. 拖地模组清洁刷（扫拖一体）：与拖布同步更换，出现磨损、掉毛立即更换。
17. 风道滤网：每3-6个月清理一次，1-2年更换一次，堵塞严重时提前更换。
18. 边刷卡扣：出现断裂、松动无法固定边刷时，立即更换同款原装卡扣。
19. 拖布支架：卡扣断裂、变形或转轴卡顿无法修复时，更换原装支架。
20. 集尘座滤网（集尘款）：每月清理，每6个月更换一次，破损或堵塞严重时提前更换。
21. 吸口滚刷（无主刷机型）：与主刷更换周期一致，3-6个月更换，宠物家庭1-3个月更换。
22. 水箱出水阀：出现漏水、开合卡顿无法修复时，更换原装出水阀配件。
23. 防撞条：出现开裂、脱落、回弹异常时，更换原装防撞条，不可用普通胶条替代。
24. 清洁液：开封后3个月内用完，密封存放于阴凉干燥处，避免阳光直射。
25. 润滑油：使用机器人专用润滑油，不可用机油、黄油等替代，防止粘灰、损坏配件。
26. 拖布粘扣：粘扣粘性下降无法固定拖布时，更换粘扣配件，或直接更换拖布支架。
27. 机器人脚垫：磨损严重导致机身晃动时，更换脚垫，保证机身工作平稳。
28. 电源线（充电座）：出现破损、老化、发热时，立即更换原装电源线，不可用非原装线替代。
29. 洗拖布水泵滤网（扫拖一体）：每周清理，6个月更换一次，堵塞导致不出水时提前更换。
30. 所有耗材优先选择**原装配件**，非原装配件尺寸、规格不符，易导致设备故障、清洁效果下降。

## 环境适配维护（20条）
1. 木地板环境：拖地时调至低档出水量，使用干拖模式，避免地面积水，每周对机器人轮组进行除尘，防止泥沙磨损地板。
2. 瓷砖/大理石环境：拖地后及时清理机器人底部水渍，每月对拖布支架进行除垢，防止水垢附着。
3. 长毛地毯环境：清扫后立即清理主刷、边刷上的地毯纤维，关闭拖地功能，防止拖布浸湿地毯导致发霉。
4. 短毛地毯环境：使用地毯增压功能后，检查主刷是否复位，每周清理地毯边缘的灰尘，避免机器人漏扫。
5. 水泥地/老旧地砖环境：清扫后立即清理机身底部、轮组的泥沙，防止磨损配件，减少拖地频次，避免灰尘结块。
6. 宠物家庭：每次清扫后全面清理主刷、尘盒、拖布，每周对机器人进行除味消毒，耗材更换周期缩短50%。
7. 有婴儿/小孩的家庭：拖地仅用清水，避免添加清洁液，拖布每次使用后高温消毒，机器人机身每日擦拭。
8. 多尘/风沙大的环境：每日清理尘盒、滤网，每周更换边刷，关闭拖地功能，防止灰尘与水渍混合结块。
9. 南方回南天/潮湿环境：减少拖地频次，使用干拖模式，机器人机身、耗材每日晾干，每周对机器人进行除湿处理。
10. 北方干燥/多灰环境：增大吸力档位，每日清理尘盒，每月对风道、滤网进行深度清洁，拖地时调至中档出水量。
11. 厨房重油污环境：拖地后立即清理拖布、水箱，用中性洗涤剂清洗拖布，每周对水箱进行除垢，避免油污堵塞。
12. 卫生间环境：仅进行扫地，不拖地，防止机器人接触积水，清理后擦拭机身底部，确保无水渍。
13. 阳台封闭环境：拖地后及时开窗通风，清理机器人轮组的泥沙，避免阳台灰尘与水渍混合。
14. 复式/多层楼层：为每层楼单独建图，更换楼层使用前，清理机器人底部、传感器，校准扫拖参数。
15. 有镜面/玻璃家具的环境：清扫前清理机器人避障传感器，避免反光导致建图错乱，每周擦拭传感器。
16. 家具底部低矮环境：机器人进入后，手动辅助清理死角，每周清理机器人底部传感器，避免灰尘遮挡。
17. 有门槛/台阶的环境：机器人跨越后，检查轮组、拖地模组是否卡顿，手动辅助清理门槛处的灰尘。
18. 夏季高温环境：避免机器人在阳光直射处工作，充电环境通风良好，每周检查电池温度，防止过热。
19. 冬季低温环境：机器人工作前在室温环境静置30分钟，避免电池续航衰减，充电时保证环境温度≥5℃。
20. 装修后清洁环境：先手动开荒，清理水泥渣、沙粒、尖锐杂物后，再使用机器人，避免卡死机件、刮伤配件。

## 长期存放维护（20条）
1. 存放前，将机器人完全充满电（电量至80%-90%），避免亏电存放导致电池损坏。
2. 存放前，全面清理机器人机身、尘盒、滤网、主刷、边刷、拖布等所有配件，无灰尘、污渍残留。
3. 扫拖一体机器人存放前，排空水箱、污水仓内的所有水分，用干布擦拭干净，晾干后再存放。
4. 拆卸所有可拆卸配件（如拖布、拖布支架、集尘袋、滤网），清洗晾干后单独存放，避免与机身贴合滋生细菌。
5. 存放前，对机器人电池仓、充电触点、传感器进行一次全面擦拭，保证无灰尘、水渍。
6. 存放时，将机器人放在**阴凉、干燥、通风**的环境，避免高温、低温、潮湿、阳光直射。
7. 存放温度控制在5℃-35℃，相对湿度≤60%，远离易燃、易爆、腐蚀性物品。
8. 存放时，机器人与充电座断开连接，不可长期插电充电，防止电池过充损坏。
9. 配件单独存放于密封袋中，放入干燥剂，防止受潮、发霉、老化。
10. 水箱密封圈存放前，涂一层薄硅胶油，放在密封袋中，防止老化开裂。
11. 长期存放（＞1个月），每1-2个月给机器人补电一次，将电量充至80%-90%，避免电池亏电。
12. 存放时，机器人机身保持平放，不可倒置、侧放，防止内部零件移位、电池漏液。
13. 避免机器人在存放过程中被重物挤压，机身外壳、配件防止变形。
14. 充电座与机器人分开存放，充电座电源线缠绕整齐，插头做好防护，避免进灰。
15. 长期存放后重新使用前，先检查机器人电池是否鼓包、漏液，机身配件是否松动、老化。
16. 重新使用前，对机器人所有配件进行一次全面清洗、晾干，更换过期、老化的耗材。
17. 重新使用前，将机器人开机空转1-2分钟，检查有无异响、卡顿，测试各项功能是否正常。
18. 重新使用前，连接充电座充电30分钟，激活电池，校准电量显示。
19. 重新使用前，删除旧地图，让机器人重新建图，校准扫拖、避障、回充功能。
20. 若机器人存放于车库、储物间等阴暗环境，存放前对机器人进行一次消毒，存放时放入防虫、防鼠配件。

## 故障预防维护（20条）
1. 定期更新机器人固件和APP，保证系统功能正常，减少软件故障导致的操作异常。
2. 避免机器人长时间连续工作，大户型分批次清扫，防止电机、电池过热导致故障。
3. 每次使用前，检查地面是否有尖锐硬物、电线、绳子等，避免卡死机件、缠绕配件。
4. 严格按机型说明使用，不可超重负载，避免机器人在超出清扫面积的环境工作。
5. 充电时遵循“浅充浅放”，避免电池过充、过放，延长电池使用寿命，减少电池故障。
6. 滤网、尘盒堵塞时及时清理，避免吸力下降导致电机超负荷工作，烧毁电机。
7. 拖布、水箱漏水时立即停机，清理后再使用，避免水渍进入机身内部导致电路短路。
8. 机器人出现轻微异响、卡顿时，立即停机检查，切勿强行使用，防止故障扩大。
9. 避免自行拆解机器人内部零件（如电机、主板、电池），故障后联系官方售后维修。
10. 每月对机器人进行一次全面的功能测试，包括扫拖、避障、回充、定点清扫等，及时发现潜在故障。
11. 耗材到期及时更换，避免老化、磨损的耗材导致机器人工作异常，损坏其他配件。
12. 机器人连接WiFi时，仅使用2.4G网络，避免5G网络导致的连接不稳定、功能异常。
13. 定期清理机器人的缓存（APP端），避免缓存过多导致APP卡顿、指令发送失败。
14. 避免机器人在潮湿环境下充电，防止充电触点氧化、短路，导致充电故障。
15. 机器人若不慎进水，立即断开电源，放在通风处晾干，切勿开机，联系售后检测。
16. 每周检查机器人的排线、电线，无破损、松动，防止短路、接触不良导致的故障。
17. 自动洗拖布机型，避免清洁仓内无水干烧，防止水泵、加热模块（若有）损坏。
18. 集尘款机器人，避免集尘袋满溢后继续使用，防止灰尘进入电机，导致吸力下降、电机故障。
19. 机器人回充时，保证充电座周围无遮挡，避免机器人反复尝试回充导致电机、电池损耗。
20. 建立机器人维护档案，记录耗材更换时间、故障处理情况，定期总结维护经验，提前预防同类故障。
